sku,Name,Brand,Category,Wholesale,Retail,Description,Images,Length,Width,Height
188043,CALYPSO 3 DRAWER CHEST - BONE,Interlude Home,Furniture > Bedroom > Dressers,2454,4908,Faux shagreen in our bone finish gives the Calypso 3-Drawer Chest an Art Deco vibe that looks totally chic and of-the-moment.,"188043-1,188043-2,188043-3","18""D","46""W","33""H"
155179,PORTIA BEDSIDE CHEST,Interlude Home,Furniture > Bedroom > Dressers,1829,3658,Clean lines and sleek hardware are the perfect complement to the fabulous snow white resin cast snakeskin texture of the Portia Bedside Chest.,"155179-1,155179-2,155179-3","20""D","28""W","26""H"
155169,CASSIAN BEDSIDE CHEST - BLACK/ BRASS,Interlude Home,Furniture > Bedroom > Dressers,2682,5364,"Boasting black hide with a clear acrylic pull and shiny brass accents, the Cassian Chest brings an unexpected, fabulous twist to a storage staple.","155169-1,155169-2,155169-3","18""D","26""W","26""H"
155152,JAXON BEDSIDE CHEST,Interlude Home,Furniture > Bedroom > Dressers,2745,5490,"Natural grey hide brings warmth, depth and texture to the clean lines and simple hardware of the Jaxon Bedside Chest.","155152-1,155152-2,155152-3","18""D","26""W","26""H"
128100,DESIRE BEDSIDE CHEST,Interlude Home,Furniture > Bedroom > Dressers,1491,2982,"Paying homage to a fabulous midcentury modern silhouette, the Desire Bedside Chest features bold, brushed brass hardware and a grey wash oak finish.","128100-1,128100-2,128100-3","18""D","24""W","26""H"
178130,ASHER STOOL - IVORY,Interlude Home,Furniture > Living > Benches & Ottomans,1475,2950,"Upholstered in plush ivory faux fur and topping an acrylic cross base, the Asher Stool is as chic as it is luxurious.","178130-1,178130-2,178130-3","16""D","24""W","18""H"
178129,ASHER STOOL - SHADOW GREY,Interlude Home,Furniture > Living > Benches & Ottomans,1475,2950,"Upholstered in plush shadow grey faux fur and topping an acrylic cross base, the Asher Stool is as chic as it is luxurious.","178129-1,178129-2,178129-3","16""D","24""W","18""H"
178118,CELESTE BENCH - IVORY,Interlude Home,Furniture > Living > Benches & Ottomans,2461,4922,"Soft ivory faux fur contrasts with an architectural base of antique bronze-finished stainless steel to make the Celeste Bench an enticing, eye-catching accent.","178118-1,178118-2,178118-3","16""D","48""W","18""H"
178115,AARON BENCH - SHEARLING,Interlude Home,Furniture > Living > Benches & Ottomans,2079,4158,Fabulous textures and mixed materials come together in the Aaron Bench thanks to faux shearling and a wood frame in an autumn brown stain with satin brass-finished metal accents.,"178115-1,178115-2,178115-3","18""D","60""W","18""H"
178114,ISLA BENCH - HEATHERED CREAM,Interlude Home,Furniture > Living > Benches & Ottomans,2079,4158,"Clean lines and faux linen in a pale heathered cream pair perfectly with the warmth of a light walnut stain to make the Isla Bench a welcoming, versatile seating option.","178114-1,178114-2,178114-3","18""D","60""W","17""H"
188178,CELESTE BENCH - BRONZE,Interlude Home,Furniture > Living > Benches & Ottomans,1844,3688,"Soft down faux shearling contrasts with an architectural base of antique bronze-finished stainless steel to make the Celeste Bench an enticing, eye-catching accent.","188178-1,188178-2,188178-3","16""D; SH 18""","48""W","18""H"
178100,JACQUELINE STOOL,Interlude Home,Furniture > Living > Benches & Ottomans,2184,4368,A ocean grey chenille seat has never looked so glam thanks to the sleek clear acrylic frame of the Jacqueline Stool.,"178100-1,178100-2,178100-3",18''D,"25""W",18''H
175197,GABRIEL SHEEP SCULPTURE - CHOCOLATE,Interlude Home,Furniture > Living > Benches & Ottomans,3894,7788,The charming Gabriel Sheep Sculpture (in the style of Lalanne) brings spirit and fun to any living space.,175197-1,"18""D; SH 23""","44""W","33""H"
175184,KLAUS BENCH,Interlude Home,Furniture > Living > Benches & Ottomans,3987,7974,"Featuring distressed glazed grey leather, the Klaus Bench couldn't be more inviting thanks to its luxurious depth.","175184-1,175184-2,175184-3","24""D","67""W","18""H"
175181,ZORA BENCH,Interlude Home,Furniture > Living > Benches & Ottomans,2420,4840,"Sleek and swanky, the Zora Bench features distressed glazed taupe leather atop a contemporary, polished nickel-finished stainless steel base.","175181-1,175181-2,175181-3","18""D","63""W","18""H"
145035,MORO HIDE STOOL,Interlude Home,Furniture > Living > Benches & Ottomans,864,1728,Polished stainless steel legs and a light natural hide seat bring statement-making style to this completely chic stool.,"145035-1,145035-2","11""D","23""W","18""H"
145271,SIMONE SWIVEL CHAIR - SHEARLING,Interlude Home,Furniture > Living > Occasional Chairs,2256,4512,"Featuring down faux shearling and an ash base in autumn brown, the Simone Swivel Chair effortlessly combines comfort and style to stunning effect.","145271-1,145271-2,145271-3,145271-4","31""D; AH 23""; SH 18""; SD 21""","31""W","30""H"
145270,SIMONE SWIVEL CHAIR - HAZE SHEARLING,Interlude Home,Furniture > Living > Occasional Chairs,2256,4512,"Featuring haze faux shearling and an ash base in a grey wash, the Simone Swivel Chair effortlessly combines comfort and style to stunning effect.","145270-1,145270-2,145270-3,145270-4","31""D; AH 23""; SH 18""; SD 21""","31""W","30""H"
145269,ANGELICA LOUNGE CHAIR - SHEARLING,Interlude Home,Furniture > Living > Occasional Chairs,2366,4732,"Taking cozy-chic to the next level, the Angelica Lounge Chair features an ash frame in autumn brown and plush down faux shearling.","145269-1,145269-2,145269-3,145269-4,145269-5","31""D; SH 17""; SD 21""; AH 23""","26""W","32 1/2""H"
145268,ANGELICA LOUNGE CHAIR - HAZE SHEARLING,Interlude Home,Furniture > Living > Occasional Chairs,2366,4732,"Taking cozy-chic to the next level, the Angelica Lounge Chair features an ash frame in a grey wash and plush haze faux shearling.","145268-1,145268-2,145268-3,145268-4,145268-5","31""D; SH 17 1/2""; SD 21""; AH 23""","27""W","32""H"
198038,DAVIS CHAIR,Interlude Home,Furniture > Living > Occasional Chairs,2850,5700,"Generously proportioned and boasting an inviting silhouette, the Davis Chair becomes even more tempting when it crafted of rich russet leather.","198038-1,198038-2,198038-3,198038-4,198038-5","35""D; SH 16""; SD 23""","39""W","31""H"
198037,LENNOX CHAIR,Interlude Home,Furniture > Living > Occasional Chairs,2088,4176,"Rich, russet leather, natural wood and aged iron come together to deliver a fabulous seating option in the form of the Lennox chair.","198037-1,198037-2,198037-3,198037-4,198037-5","34""D; SH 18""","25""W","32""H"
198033,THATCHER CHAIR - STONE,Interlude Home,Furniture > Living > Occasional Chairs,2659,5318,"The stone leather Thatcher Chair becomes a striking, welcoming seating option with its chic pleating and polished brass-finished metal legs.","198033-1,198033-2,198033-3,198033-4","30""D; SH 17""; SD 20""","31""W","30""H"
145214,LAYLA OCCASIONAL CHAIR - GREY,Interlude Home,Furniture > Living > Occasional Chairs,1078,2156,"A perfectly versatile seating option, the Layla Occasional Chair is both inviting and striking thanks to its walnut-finished wood frame and St Tropez grey faux leather seat.","145214-1,145214-2,145214-3,145214-4","33""D; SH 19 1/2""; SD 19 1/2""; AH 24""","30""W","36""H"
145237,LAYLA OCCASIONAL CHAIR – MOREL TAUPE,Interlude Home,Furniture > Living > Occasional Chairs,2338,4676,"A perfectly versatile seating option, the Layla Occasional Chair is both inviting and striking thanks to its autumn brown-finished wood frame and taupe Tibetan lambskin upholstery.","145237-1,145237-2,145237-3,145237-4,145237-5","33""D; SH 19 1/2; AH 24; SD 19 1/2","30""W","36""H"
145213,LAYLA OCCASIONAL CHAIR - CREAM,Interlude Home,Furniture > Living > Occasional Chairs,1078,2156,"A perfectly versatile seating option, the Layla Occasional Chair is both inviting and striking thanks to its beach ceruse-finished wood frame and cream latte faux leather seat.","145213-1,145213-2,145213-3,145213-4,145213-5","33""D; SH 19 1/2""; SD 19 1/2""; AH 24""","30""W","36""H"
145203,LEVI OCCASIONAL CHAIR,Interlude Home,Furniture > Living > Occasional Chairs,2158,4316,"Giving off seriously chic vibes, the Levi Occasional Chair boasts fabulous stone leather and a sleek stainless steel base in a polished nickel finish.","145203-1,145203-2,145203-3,145203-4","30 1/2""D; SH 18 1/2''; SD 20''","38 1/2""W","30""H"
199051,AVA RIGHT SOFA,Interlude Home,Furniture > Living > Sofas,0,0,The Ava Sofa is a luxurious option that delivers sophistication and glamorous style.,199051-1,"43""D; SH 19""; SD 20""-23""","103""W","34""H"
199027,BLAINE SOFA,Interlude Home,Furniture > Living > Sofas,3598,7196,"Echoing the vibe of a classic club chair, the russet Blaine Sofa boasts dramatic channeling and a luxuriously deep, inviting seat.","199027-1,199027-2,199027-3","39""D; SH 16""; SD 25""","87""W","26""H"
199011,LUCA LOVESEAT,Interlude Home,Furniture > Living > Sofas,0,0,"Euro-chic meets American-made craftsmanship in the form of the Luca Loveseat, offered in a selection of luxurious, neutral fabrics.","199011-1,199011-2,199011-3",W-75 D-32 H-27; AH-27 SD-21 SH-17.5,,
199010,DANA CLASSIC RIGHT CHAISE,Interlude Home,Furniture > Living > Sofas,0,0,"Captivating and sultry, the Dana Classic Right Chaise is a luxurious option that delivers sophistication and glamorous style.","199010-1,199010-2,199010-3","43""D; AH 30""; SH 18""; SD 32""","76""W","32.5""H"
199009,TURIN SOFA,Interlude Home,Furniture > Living > Sofas,0,0,"With an exotic silhouette, the bold Turin Sofa belies its American-made provenance and comes in a variety of plush, neutral fabrics.","199009-1,199009-2,199009-3,199009-4","W 99"" D 35"" H 36""; AH 26"" SD 22"" SH 19""",,
199007,CHLOE BANQUETTE,Interlude Home,Furniture > Living > Sofas,0,0,"A super stylish interpretation of a classic banquette, the Chloe Banquette boasts a stunning high back and is offered in a range of luxurious, neutral fabrics.","199007-1,199007-2","W 58"" D 29"" H 44""; SD 21"" SH 18.5""",,
199006,CHLOE CLASSIC SOFA,Interlude Home,Furniture > Living > Sofas,0,0,"Understated but so chic, the streamlined Chloe Classic Sofa makes a big impression.",199006-1,"W 80.5"" D 30.5"" H 32""; SD 23.5"" SH 18.5""",,
199005,AYLER SOFA,Interlude Home,Furniture > Living > Sofas,0,0,"A fresh interpretation of a classic couch, the Ayler Sofa surrounds with comfort and is available in a range of sumptuous neutral fabrics.","199005-1,199005-2,199005-3,199005-4,199005-5","W 85"" D 36"" H 33.5""; AH 28"" SD 23"" SH 18""",,
199004,LUCA SOFA,Interlude Home,Furniture > Living > Sofas,0,0,"Euro-chic meets American-made craftsmanship in the form of the Luca Sofa, offered in a selection of luxurious, neutral fabrics.","199004-1,199004-2,199004-3,199004-4,199004-5","W 108"" D 32"" H 27""; AH 27"" SD 21"" SH 17.5""",,
199003,ORNETTE SOFA,Interlude Home,Furniture > Living > Sofas,0,0,"Luxuriant and enveloping, the Ornette Sofa makes a bold statement and is customizable in varied fabulous fabrics.","199003-1,199003-2,199003-3,199003-4","W 91"" D 35"" H 29.5""; AH 29.5"" SD 25"" SH 17.5""",,
199002,DANA CLASSIC LEFT CHAISE,Interlude Home,Furniture > Living > Sofas,0,0,"Captivating and sultry, the Dana Classic Left Chaise is a luxurious option that delivers sophistication and glamorous style.","199002-1,199002-2,199002-3,199002-4,199002-5","43""D; AH 30""; SH 18""; SD 32""","76""W","32.5""H"
199001,CHANNEL SOFA,Interlude Home,Furniture > Living > Sofas,0,0,"Art Deco-inspired and stunningly glamorous, the Channel Sofa evokes swanky sophistication.","199001-1,199001-2,199001-3","W 90"" D 36"" H 32""; AH 24"" SD 21"" SH 18""",,
199000,AVENTURA GRAND SOFA,Interlude Home,Furniture > Living > Sofas,0,0,"Tailored and handsome, the Aventura Grand Sofa features clean lines and a fresh, modern take on a classic silhouette.","199000-1,199000-2,199000-3","W 93"" D 36.5"" H-33""; AH-22"" SD 23"" SH 18""",,
198019,LUCA KING BENCH,Interlude Home,Furniture > Living > Sofas,0,0,"Low and loungey, but unmistakably elegant, the Luca King Bench makes a distinctive, timeless statement.","198019-1,198019-2,198019-3",W-76 D-25 H-21; AH-21 SD-25 SH-17.5,,
125925,TAMARA CENTER TABLE,Interlude Home,Furniture > Living > Tables > Center Tables,2547,5094,A sculptural acrylic base with stainless steel accents in a polished brass finish turns the Tamara Center Table into a majorly chic statement.,"125925-1,125925-2,125925-3","30""H X 48""DIA",,
125142,LIORA SIDE TABLE,Interlude Home,Furniture > Living > Tables > End Tables,1637,3274,"The Liora Side Table may have clean, classic lines, but thanks to an interpretation in slick, gleaming acrylic, it becomes a fabulous, glam accent piece.",125142-1,"24""H X 16"" DIA",,
149940,ELENA CHAIR - DOVE,Interlude Home,Furniture > Dining > Dining Chairs,1282,2564,"Chic as can be, the Elena Chair features dove loomed linen and a metal frame in an antique bronze finish to make for a versatile seating option that complements any style.","149940-1,149940-2,149940-3,149940-4","23 1/2""D; SH 19""; SD 18""","21 1/2""W","32 1/2""H"
145219,CIDRA CHAIR - GREY,Interlude Home,Furniture > Dining > Dining Chairs,1529,3058,"Crafted of walnut, satin nickel finished steel and faux leather, these fabulous mixed materials bring statement-making style to the Cidra Chair.","145219-1,145219-2,145219-3,145219-4,145219-5","22""D; SH 19""; SD 18 1/2""; AH 26""","22""W","32 1/2""H"
145218,CIDRA CHAIR - CREAM LATTE,Interlude Home,Furniture > Dining > Dining Chairs,1529,3058,"Crafted of walnut, satin brass finished steel and faux leather, these fabulous mixed materials bring statement-making style to the Cidra Chair.","145218-1,145218-2,145218-3,145218-4,145218-5","22""D; SH 19""; SD 18 1/2""; AH 26""","22""W","32 1/2""H"
149062,TRISTAN KLISMOS CHAIR - IVORY GOAT,Interlude Home,Furniture > Dining > Dining Chairs,2596,5192,"A classic dining chair silhouette gets a fun, plush twist when it's crafted of acrylic and boasts an ivory goatskin seat.","149062-1,149062-2,149062-3,149062-4","22""; SH 19""; SD 18""","19""","35""H"
149061,TRISTAN KLISMOS CHAIR - GREY GOAT,Interlude Home,Furniture > Dining > Dining Chairs,2596,5192,"A classic dining chair silhouette gets a fun, plush twist when it's crafted of acrylic and boasts a light grey goatskin seat.","149061-1,149061-2,149061-3,149061-4","22""; SH 19""; SD 18""","19""","35""H"
148104,DARCY DINING CHAIR - GREY/ NICKEL,Interlude Home,Furniture > Dining > Dining Chairs,1853,3706,"Boasting an art moderne influence, the Darcy Dining Chair features a grey leather seat and a streamlined stainless steel frame in a polished nickel finish.","148104-1,148104-2,148104-3","20""D; SH 19""; AH 28 1/2""; SD 18""","24""W","28 1/2""H"
145226,WILLA DINING CHAIR - DOVE/ SILVER,Interlude Home,Furniture > Dining > Dining Chairs,1739,3478,"A sleek and chic statement, the acrylic Willa Dining Chair adds flair with its dove loomed linen seat and metal details in a polished nickel finish.","145226-1,145226-2,145226-3,145226-4","20""D; SH 19""; SD 18""","22 1/2""W","32""H"
145225,WILLA DINING CHAIR - DOVE/ BRASS,Interlude Home,Furniture > Dining > Dining Chairs,1739,3478,"A sleek and chic statement, the acrylic Willa Dining Chair adds flair with its dove loomed linen seat and metal details in a polished brass finish.","145225-1,145225-2,145225-3,145225-4,145225-5","20""D; SH 19""; SD 18""","22 1/2""W","32""H"
145216,WILLA DINING CHAIR - OCEAN GREY/ SILVER,Interlude Home,Furniture > Dining > Dining Chairs,1739,3478,"A sleek and chic statement, the acrylic Willa Dining Chair adds flair with its ocean grey textured chenille seat and metal details in a polished nickel finish.","145216-1,145216-2,145216-3,145216-4,145216-5","20""D; SH 19""; SD 18""","22 1/2""W","32""H"
145200,WILLA DINING CHAIR - OCEAN GREY/ BRASS,Interlude Home,Furniture > Dining > Dining Chairs,1570,3140,"A sleek and chic statement, the acrylic Willa Dining Chair adds flair with its ocean grey textured chenille seat and metal details in a polished brass finish.","145200-1,145200-2,145200-3,145200-4,145200-5","20""D; SH 19""; SD 18""","22 1/2""W","32""H"
145195,DARCY DINING CHAIR - TAUPE,Interlude Home,Furniture > Dining > Dining Chairs,1853,3706,"Boasting an art moderne influence, the Darcy Dining Chair features a taupe leather seat and a streamlined stainless steel frame in an antique bronze finish.","145195-1,145195-2,145195-3","20""D; SH 19""; AH 28 1/2""; SD 18""","24""W","28 1/2""H"
145161,ARDSLEY ACRYLIC KLISMOS CHAIR,Interlude Home,Furniture > Dining > Dining Chairs,1438,2876,"The Ardsley Acrylic Klismos Chair may have classical proportions, but realized in acrylic with its contemporary cut-out back, it becomes an of-the-moment piece.","145161-1,145161-2","22""D; SH 19""","19""W","35""H"
145067,TRISTAN ACRYLIC KLISMOS CHAIR,Interlude Home,Furniture > Dining > Dining Chairs,2133,4266,"A classic dining chair silhouette gets a fun, plush twist when it's crafted of acrylic and boasts a velvet seat.","145067-1,145067-2,145067-3,145067-4","22""D; SH 19""","19""W","35""H"
168120,CHANTAL DINING TABLE,Interlude Home,Furniture > Dining > Dining Tables,5633,11266,A trio of varied stainless steel pillars in an antique bronze finish support a sumptuous porcelain top to turn the Chantal Dining Table into a dramatic statement.,"168120-1,168120-2,168120-3","44""D","94""W","30""H"
168119,ANNICK DINING TABLE - BLACK,Interlude Home,Furniture > Dining > Dining Tables,2338,4676,A stunning galaxy black marble top is supported by a sculptural stainless steel base in an antique bronze finish to deliver the sophisticated Annick Dining Table.,"168119-1,168119-2,168119-3,168119-4","36""D","50""W","30""H"
168117,ANNICK DINING TABLE - PALISANDRO,Interlude Home,Furniture > Dining > Dining Tables,2338,4676,A stunning palissandro marble top is supported by a sculptural stainless steel base in an antique bronze finish to deliver the sophisticated Annick Dining Table.,"168117-1,168117-2,168117-3","36""D","50""W","30""H"
168084,SAVANNAH DINING TABLE,Interlude Home,Furniture > Dining > Dining Tables,9911,19822,The classical lines of the stunning Savannah Dining Table get a fresh update when they're realized fabulously in acrylic and glass.,"168084-1,168084-2","42""D","82""W","30""H"
