sku,Name,Brand,Categories,Price,Discount,Sale Price,Description,Images,Length,Width,Height,Shipping
190-410,Corbett Lighting Rockstar Pendant (MD),Corbett Lighting,Lighting > Pendants,6600,50%,3300,"Width/Diameter 24.00""
Height 31.25""
Backplate/Canopy/Base 8.25""
Shade Material Natural Agate
Number of Lamps 10
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","190-410-1, 190-410-2, 190-410-3, 190-410-4",24,24,31.25,Free Shipping
190-416,Corbett Lighting Rockstar Pendant (LG),Corbett Lighting,Lighting > Pendants,10570,50%,5285,"Width/Diameter 32.75""
Height 47.00""
Backplate/Canopy/Base 8.25""
Shade Material Natural Agate
Number of Lamps 16
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","190-416-1, 190-416-2, 190-416-3, 190-416-4",32.75,32.75,47,Free Shipping
190-12,Corbett Lighting Rockstar Wall Sconce (LG),Corbett Lighting,Lighting > Wall Sconces,1390,50%,695,"Width/Diameter 12.25""
Height 18.00""
Extension 7.25""
Backplate/Canopy/Base 4.50""W x 10.25""H
Top To Center 8.38""
Shade Material Natural Agate
Number of Lamps 2
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","190-12-1, 190-12-2, 190-12-3, 190-12-4",12.25,7.25,18,Free Shipping
163-11,Corbett Lighting Amadeus Wall Sconce (SM),Corbett Lighting,Lighting > Wall Sconces,550,,,"Width/Diameter 5.00""
Height 16.50""
Extension 4.00""
Backplate/Canopy/Base 5.00""W x 9.00""H
Top To Center 11.36""
Shade Material Glass
Number of Lamps 1
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Vienna Bronze

The old halls of Vienna and Versailles are glutted with glamour gleaming from fabled forms bearing faceted crystal which reflects candelight in a thousand directions. Amadeus, named after the composer who made his home in this Vienna, the capital of the classical music world, takes its inspiration from these timelessly beautiful chandeliers. Handcrafted iron finished in Vienna bronze is forged into natural shapes with exquisite artistry, the piece’s branching arms and candles all intensely textural. Italian drops of faceted crystal bejewel the body entire, with a faceted finial sphere at its base, reflecting the light in myriad directions and making for a piece that is the embodiment of opulence. ","163-11-1, 163-11-2, 163-11-3",5,5,16.5,Free Shipping
163-12,Corbett Lighting Amadeus Wall Sconce (LG),Corbett Lighting,Lighting > Wall Sconces,990,,,"Width/Diameter 11.00""
Height 21.00""
Extension 6.00""
Backplate/Canopy/Base 4.50""W x 7.00""H
Top To Center 10.81""
Shade Material Glass
Number of Lamps 2
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Vienna Bronze

The old halls of Vienna and Versailles are glutted with glamour gleaming from fabled forms bearing faceted crystal which reflects candelight in a thousand directions. Amadeus, named after the composer who made his home in this Vienna, the capital of the classical music world, takes its inspiration from these timelessly beautiful chandeliers. Handcrafted iron finished in Vienna bronze is forged into natural shapes with exquisite artistry, the piece’s branching arms and candles all intensely textural. Italian drops of faceted crystal bejewel the body entire, with a faceted finial sphere at its base, reflecting the light in myriad directions and making for a piece that is the embodiment of opulence. ","163-12-1, 163-12-2, 163-12-3, 163-12-4, 163-12-5, 163-12-6",11,11,21,Free Shipping
163-03,Corbett Lighting Amadeus Chandelier (SM),Corbett Lighting,Lighting > Chandeliers,3730,,,"Width/Diameter 20.00""
Height 30.50""
Backplate/Canopy/Base 5.75""
Shade Material Glass
Number of Lamps 3
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Vienna Bronze

The old halls of Vienna and Versailles are glutted with glamour gleaming from fabled forms bearing faceted crystal which reflects candelight in a thousand directions. Amadeus, named after the composer who made his home in this Vienna, the capital of the classical music world, takes its inspiration from these timelessly beautiful chandeliers. Handcrafted iron finished in Vienna bronze is forged into natural shapes with exquisite artistry, the piece’s branching arms and candles all intensely textural. Italian drops of faceted crystal bejewel the body entire, with a faceted finial sphere at its base, reflecting the light in myriad directions and making for a piece that is the embodiment of opulence.","163-03-1, 163-03-2, 163-03-3, 163-03-4, 163-03-5, 163-03-6",20,20,30.5,Free Shipping
163-06,Corbett Lighting Amadeus Chandelier (MD),Corbett Lighting,Lighting > Chandeliers,6304,,,"Width/Diameter 28.00""
Height 43.50""
Backplate/Canopy/Base 6.00""
Shade Material Glass
Number of Lamps 6
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Vienna Bronze

The old halls of Vienna and Versailles are glutted with glamour gleaming from fabled forms bearing faceted crystal which reflects candelight in a thousand directions. Amadeus, named after the composer who made his home in this Vienna, the capital of the classical music world, takes its inspiration from these timelessly beautiful chandeliers. Handcrafted iron finished in Vienna bronze is forged into natural shapes with exquisite artistry, the piece’s branching arms and candles all intensely textural. Italian drops of faceted crystal bejewel the body entire, with a faceted finial sphere at its base, reflecting the light in myriad directions and making for a piece that is the embodiment of opulence. ","163-06-1, 163-06-2, 163-06-3, 163-06-4, 163-06-5, 163-06-6, 163-06-7",28,28,43.5,Free Shipping
163-08,Corbett Lighting Amadeus Chandelier (LG),Corbett Lighting,Lighting > Chandeliers,10990,,,"Width/Diameter 36.50""
Height 53.50""
Backplate/Canopy/Base 6.00""
Shade Material Glass
Number of Lamps 8
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Vienna Bronze

The old halls of Vienna and Versailles are glutted with glamour gleaming from fabled forms bearing faceted crystal which reflects candelight in a thousand directions. Amadeus, named after the composer who made his home in this Vienna, the capital of the classical music world, takes its inspiration from these timelessly beautiful chandeliers. Handcrafted iron finished in Vienna bronze is forged into natural shapes with exquisite artistry, the piece’s branching arms and candles all intensely textural. Italian drops of faceted crystal bejewel the body entire, with a faceted finial sphere at its base, reflecting the light in myriad directions and making for a piece that is the embodiment of opulence. ","163-08-1, 163-08-2, 163-08-3, 163-08-4, 163-08-5, 163-08-6",36.5,36.5,53.5,Free Shipping
163-712,Corbett Lighting Amadeus Chandelier (XL),Corbett Lighting,Lighting > Chandeliers,14070,,,"Width/Diameter 46.50""
Height 67.50""
Backplate/Canopy/Base 6.00""
Shade Material Glass
Number of Lamps 12
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Vienna Bronze

The old halls of Vienna and Versailles are glutted with glamour gleaming from fabled forms bearing faceted crystal which reflects candelight in a thousand directions. Amadeus, named after the composer who made his home in this Vienna, the capital of the classical music world, takes its inspiration from these timelessly beautiful chandeliers. Handcrafted iron finished in Vienna bronze is forged into natural shapes with exquisite artistry, the piece’s branching arms and candles all intensely textural. Italian drops of faceted crystal bejewel the body entire, with a faceted finial sphere at its base, reflecting the light in myriad directions and making for a piece that is the embodiment of opulence. ","163-712-1, 163-712-2, 163-712-3, 163-712-4, 163-712-5, 163-712-6",46.5,46.5,67.5,Free Shipping
221-11,Corbett Lighting Cielo Wall Sconce (left),Corbett Lighting,Lighting > Wall Sconces,484,50%,242,"Width/Diameter 12.50""
Height 14.75""
Extension 5.50""
Backplate/Canopy/Base 5.50""
Top To Center 8.75""
Shade Material Glass
Number of Lamps 1
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Silver Leaf","221-11-1, 221-11-2",12.5,12.5,14.75,Free Shipping
221-12,Corbett Lighting Cielo Wall Sconce (right),Corbett Lighting,Lighting > Wall Sconces,484,50%,242,"Width/Diameter 12.50""
Height 14.75""
Extension 5.50""
Backplate/Canopy/Base 5.50""
Top To Center 8.75""
Shade Material Glass
Number of Lamps 1
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Silver Leaf","221-12-1, 221-12-2",12.5,12.5,14.75,Free Shipping
150-11,Corbett Lighting Dolcetti Wall Sconce (SM),Corbett Lighting,Lighting > Wall Sconces,826,,,"Width/Diameter 6.00""
Height 18.50""
Extension 3.50""
Backplate/Canopy/Base 4.50""W x 4.50""H
Top To Center 6.50""
Shade Material Shell
Number of Lamps 1
Wattage 40w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Dolcetti Silver","150-11-1, 150-11-2",6,6,18.5,Free Shipping
142-13,Corbett Lighting Dolcetti Wall Sconce (LG),Corbett Lighting,Lighting > Wall Sconces,1046,,,"Width/Diameter 10.00""
Height 15.75""
Extension 5.00""
Backplate/Canopy/Base 4.25""W x 15.00""H
Top To Center 7.88""
Shade Material Shell
Number of Lamps 3
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Dolcetti Silver","142-13-1, 142-13-2",10,10,15.75,Free Shipping
142-33,Corbett Lighting Dolcetti Semi-Flush,Corbett Lighting,Lighting > Semi-Flush,2410,,,"Width/Diameter 18.00""
Height 16.75""
Backplate/Canopy/Base 7.25""
Shade Material Shell
Number of Lamps 3
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Dolcetti Silver","142-33-1, 142-33-2",18,18,16.75,Free Shipping
142-47,Corbett Lighting Dolcetti Chandelier (SM),Corbett Lighting,Lighting > Chandeliers,4170,,,"Width/Diameter 18.00""
Height 24.50""
Backplate/Canopy/Base 6.50""
Shade Material Shell
Number of Lamps 7
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Dolcetti Silver","142-47-1, 142-47-2, 142-47-3, 142-47-4",18,18,24.5,Free Shipping
142-413,Corbett Lighting Dolcetti Chandelier (MD),Corbett Lighting,Lighting > Chandeliers,6590,,,"Width/Diameter 24.00""
Height 32.00""
Backplate/Canopy/Base 6.50""
Shade Material Shell
Number of Lamps 13
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Dolcetti Silver","142-413-1, 142-413-2, 142-413-3, 142-413-4",24,24,32,Free Shipping
142-719,Corbett Lighting Dolcetti Chandelier (LG),Corbett Lighting,Lighting > Chandeliers,13190,,,"Width/Diameter 32.00""
Height 52.00""
Backplate/Canopy/Base 6.50""
Shade Material Shell
Number of Lamps 19
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No","142-719-1, 142-719-2, 142-719-3, 142-719-4",32,32,52,Free Shipping
222-48,Corbett Lighting Anello Chandelier (MD),Corbett Lighting,Lighting > Chandeliers,2590,50%,1295,"Width/Diameter 43.00""
Height 4.50""
Backplate/Canopy/Base 6.00""
Shade Material Handmade Italian Glass
Number of Lamps 8
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Gold Leaf W Polished

Anello recreates the traditional style Venetian chandelier by taking handcrafted, Venetian glass, worked in detail by Italian artisans, and spotlighting it with a light framework. The result is a ring of leaves that seem to float in the air, finished in straw and clear glass to allow the light to filter through.","222-48-1, 222-48-2, 222-48-3, 222-48-4, 222-48-5",43,43,4.5,Free Shipping
222-11,Corbett Lighting Anello Wall Sconce,Corbett Lighting,Lighting > Wall Sconces,450,50%,225,"Width/Diameter 5.50""
Height 15.00""
Extension 4.50""
Shade Material Handmade Italian Glass
Number of Lamps 1
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Gold Leaf W Polished

Anello recreates the traditional style Venetian chandelier by taking handcrafted, Venetian glass, worked in detail by Italian artisans, and spotlighting it with a light framework. The result is a ring of leaves that seem to float in the air, finished in straw and clear glass to allow the light to filter through.","222-11-1, 222-11-2",5.5,5.5,15,Free Shipping
215-12,Corbett Lighting Ambrosia Wall Sconce ,Corbett Lighting,Lighting > Wall Sconces,850,,,"Width/Diameter 10.00""
Height 16.00""
Extension 5.00""
Backplate/Canopy/Base 4.50""W x 12.00""H
Top To Center 6.13""
Shade Material Metal And Crystal
Number of Lamps 2
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Gold Silver Leaf & Stainless

Inspired by the mythical food of the gods, Ambrosia is a sweet treat for the eyes. Round discs stamped with texture and finished in gold and silver leaf mix with sparkling clear crystal discs, which rain down in a cascading formation from its tiered frame.","215-12-1, 215-12-2",10,10,16,Free Shipping
215-33,Corbett Lighting Ambrosia Flush Mount,Corbett Lighting,Lighting > Flush Mount,1790,,,"Width/Diameter 18.00""
Height 16.50""
Backplate/Canopy/Base 7.75""
Shade Material Metal And Crystal
Number of Lamps 3
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Gold Silver Leaf & Stainless

Inspired by the mythical food of the gods, Ambrosia is a sweet treat for the eyes. Round discs stamped with texture and finished in gold and silver leaf mix with sparkling clear crystal discs, which rain down in a cascading formation from its tiered frame.","215-33-1, 215-33-2",18,18,16.5,Free Shipping
215-45,"Corbett Lighting Ambrosia Pendant 18""",Corbett Lighting,Lighting > Pendants,2790,,,"Width/Diameter 18.00""
Height 30.00""
Backplate/Canopy/Base 6.00""
Shade Material Metal And Crystal
Number of Lamps 5
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Gold Silver Leaf & Stainless

Inspired by the mythical food of the gods, Ambrosia is a sweet treat for the eyes. Round discs stamped with texture and finished in gold and silver leaf mix with sparkling clear crystal discs, which rain down in a cascading formation from its tiered frame.","215-45-1, 215-45-2, 215-45-3, 215-45-4",18,18,30,Free Shipping
215-47,"Corbett Lighting Ambrosia Pendant 24""",Corbett Lighting,Lighting > Pendants,3990,,,"Width/Diameter 24.00""
Height 37.50""
Backplate/Canopy/Base 6.00""
Shade Material Metal And Crystal
Number of Lamps 7
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Gold Silver Leaf & Stainless

Inspired by the mythical food of the gods, Ambrosia is a sweet treat for the eyes. Round discs stamped with texture and finished in gold and silver leaf mix with sparkling clear crystal discs, which rain down in a cascading formation from its tiered frame.","215-47-1, 215-47-2, 215-47-3, 215-47-4",24,24,37.5,Free Shipping
215-711,"Corbett Lighting Ambrosia Pendant 32""",Corbett Lighting,Lighting > Pendants,7390,,,"Width/Diameter 32.00""
Height 50.25""
Backplate/Canopy/Base 6.00""
Shade Material Metal And Crystal
Number of Lamps 11
Wattage 60w ea.
Socket Type E12 Candelabra Base
Shown In Gold Silver Leaf & Stainless

Plug In No
Inspired by the mythical food of the gods, Ambrosia is a sweet treat for the eyes. Round discs stamped with texture and finished in gold and silver leaf mix with sparkling clear crystal discs, which rain down in a cascading formation from its tiered frame.","215-711-1, 215-711-2, 215-711-3, 215-711-4",32,32,50.25,Free Shipping
176-13,Corbett Lighting Chimera Wall Sconce,Corbett Lighting,Lighting > Wall Sconces,1750,,,"Width/Diameter 12.25""
Height 17.50""
Extension 6.00""
Backplate/Canopy/Base 4.75""W x 10.75""H
Shade Material Glass
Number of Lamps 2
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Tranquility Silver Leaf

Chimera from Corbett Lighting is a study in dynamic shape and kinetic energy. Featuring shimmering nickel and crystal tassels and clear tubular glass, the fixture is supported by a hand-crafted frame finished in an attractive Tranquility silver leaf finish.","176-13-1, 176-13-2, 176-13-3, 176-13-4, 176-13-5, 176-13-6, 176-13-7, 176-13-8",12.25,12.25,17.5,Free Shipping
176-34,Corbett Lighting Chimera Semi-Flush,Corbett Lighting,Lighting > Semi-Flush,4390,,,"Width/Diameter 18.50""
Height 16.00""
Backplate/Canopy/Base 7.00""
Shade Material Glass
Number of Lamps 4
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Tranquility Silver Leaf

Chimera from Corbett Lighting is a study in dynamic shape and kinetic energy. Featuring shimmering nickel and crystal tassels and clear tubular glass, the fixture is supported by a hand-crafted frame finished in an attractive Tranquility silver leaf finish.","176-34-1, 176-34-2, 176-34-3, 176-34-4, 176-34-5, 176-34-6, 176-34-7",18.5,18.5,16,Free Shipping
176-43,"Corbett Lighting Chimera Pendant 12.75""",Corbett Lighting,Lighting > Pendants,2970,,,"Width/Diameter 12.75""
Height 18.25""
Backplate/Canopy/Base 5.75""
Shade Material Glass
Number of Lamps 3
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Tranquility Silver Leaf

Chimera from Corbett Lighting is a study in dynamic shape and kinetic energy. Featuring shimmering nickel and crystal tassels and clear tubular glass, the fixture is supported by a hand-crafted frame finished in an attractive Tranquility silver leaf finish.","176-43-1, 176-43-2, 176-43-3, 176-43-4, 176-43-5, 176-43-6, 176-43-7",12.75,12.75,18.25,Free Shipping
176-47,"Corbett Lighting Chimera Pendant 18.50""",Corbett Lighting,Lighting > Pendants,4950,,,"Width/Diameter 18.50""
Height 26.75""
Backplate/Canopy/Base 5.75""
Shade Material Glass
Number of Lamps 7
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Tranquility Silver Leaf

Chimera from Corbett Lighting is a study in dynamic shape and kinetic energy. Featuring shimmering nickel and crystal tassels and clear tubular glass, the fixture is supported by a hand-crafted frame finished in an attractive Tranquility silver leaf finish.","176-47-1, 176-47-2, 176-47-3, 176-47-4, 176-47-5, 176-47-6",18.5,18.5,26.75,Free Shipping
176-710,"Corbett Lighting Chimera Pendant 25.50""",Corbett Lighting,Lighting > Pendants,7888,,,"Width/Diameter 25.50""
Height 36.50""
Backplate/Canopy/Base 5.75""
Shade Material Glass
Number of Lamps 10
Wattage 60w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Tranquility Silver Leaf

Chimera from Corbett Lighting is a study in dynamic shape and kinetic energy. Featuring shimmering nickel and crystal tassels and clear tubular glass, the fixture is supported by a hand-crafted frame finished in an attractive Tranquility silver leaf finish.","176-710-1, 176-710-2, 176-710-3, 176-710-4, 176-710-5, 176-710-6, 176-710-7",25.5,25.5,36.5,Free Shipping
176-718,"Corbett Lighting Chimera Pendant 36.50""",Corbett Lighting,Lighting > Pendants,14290,,,"Width/Diameter 36.50""
Height 56.00""
Backplate/Canopy/Base 5.75""
Shade Material Glass
Number of Lamps 18
Wattage 40w ea.
Socket Type E12 Candelabra Base
Plug In No
Shown In Tranquility Silver Leaf

Chimera from Corbett Lighting is a study in dynamic shape and kinetic energy. Featuring shimmering nickel and crystal tassels and clear tubular glass, the fixture is supported by a hand-crafted frame finished in an attractive Tranquility silver leaf finish.","176-718-1, 176-718-2, 176-718-3, 176-718-4, 176-718-5, 176-718-6, 176-718-7",36.5,36.5,56,Free Shipping
